id,city,riqi,temperature_h,temperature_l,weather,wind_direction,E,S,W,N,wind_power,min_wind_power,max_wind_power
74,三亚,2015/9/12,33,26,雷阵雨~多云,东北风,1,0,0,1,3-4级,3,4
75,三亚,2015/9/13,31,26,阵雨,东北风,1,0,0,1,3-4级,3,4
76,三亚,2015/9/14,29,26,大雨~大到暴雨,东北风,1,0,0,1,3-4级,3,4
77,三亚,2015/9/15,28,25,大到暴雨,东北风,1,0,0,1,3-4级,3,4
78,三亚,2015/9/16,31,25,大雨,东北风,1,0,0,1,3-4级,3,4
79,三亚,2015/9/17,31,25,小到中雨,东北风,1,0,0,1,3-4级,3,4
80,三亚,2015/9/18,31,25,小到中雨~多云,东北风,1,0,0,1,3-4级,3,4
81,三亚,2015/9/19,33,26,多云,东南风,1,1,0,0,3-4级,3,4
82,三亚,2015/9/20,33,26,多云,东南风,1,1,0,0,3-4级,3,4
83,三亚,2015/9/21,33,26,多云,东北风,1,0,0,1,3-4级,3,4
84,三亚,2015/9/22,33,26,多云~阵雨,东南风,1,1,0,0,3-4级,3,4
85,三亚,2015/9/23,33,26,多云,东南风,1,1,0,0,3-4级,3,4
86,三亚,2015/9/24,33,26,多云,东南风,1,1,0,0,3-4级,3,4
87,三亚,2015/9/25,34,26,多云,西南风,0,1,1,0,3-4级,3,4
88,三亚,2015/9/26,34,26,多云,西南风,0,1,1,0,3-4级,3,4
89,三亚,2015/9/27,34,27,多云,西南风,0,1,1,0,3-4级,3,4
90,三亚,2015/9/28,32,27,雷阵雨~多云,东北风,1,0,0,1,3-4级,3,4
91,三亚,2015/9/29,33,28,雷阵雨~多云,东南风,1,1,0,0,3-4级,3,4
92,三亚,2015/9/30,33,26,阵雨,东北风,1,0,0,1,3-4级,3,4
93,三亚,2015/10/1,32,26,多云,东北风,1,0,0,1,3-4级,3,4
94,三亚,2015/10/2,31,26,多云,东北风,1,0,0,1,3-4级,3,4
95,三亚,2015/10/3,31,25,阵雨~大到暴雨,西南风,0,1,1,0,3-4级,3,4
96,三亚,2015/10/4,30,25,大雨,西南风,0,1,1,0,3-4级,3,4
97,三亚,2015/10/5,31,26,雷阵雨~阵雨,西南风,0,1,1,0,3-4级,3,4
98,三亚,2015/10/6,30,25,阵雨~多云,东北风,1,0,0,1,3-4级,3,4
99,三亚,2015/10/7,30,25,阵雨,东南风,1,1,0,0,3-4级,3,4
100,三亚,2015/10/8,31,25,多云,西南风,0,1,1,0,3-4级,3,4
101,三亚,2015/10/9,32,25,多云,东北风,1,0,0,1,3-4级,3,4
102,三亚,2015/10/10,28,23,中到大雨,东南风,1,1,0,0,3-4级,3,4
103,三亚,2015/10/11,30,24,小到中雨,东北风,1,0,0,1,3-4级,3,4
104,三亚,2015/10/12,28,24,阵雨,东北风,1,0,0,1,3-4级,3,4
105,三亚,2015/10/13,28,24,中到大雨~阵雨,东北风,1,0,0,1,3-4级,3,4
106,三亚,2015/10/14,30,23,阵雨~多云,东北风,1,0,0,1,3-4级,3,4
107,三亚,2015/10/15,31,23,多云,东北风,1,0,0,1,3-4级,3,4
108,三亚,2015/10/16,31,22,多云,西北风,0,0,1,1,3-4级,3,4
109,三亚,2015/10/17,31,21,多云,东北风,1,0,0,1,3-4级,3,4
110,三亚,2015/10/18,32,22,多云,东南风,1,1,0,0,3-4级,3,4
111,三亚,2015/10/19,32,22,多云,西北风,0,0,1,1,3-4级,3,4
112,三亚,2015/10/20,32,22,多云,东南风,1,1,0,0,3-4级,3,4
113,三亚,2015/10/21,31,22,多云,东北风,1,0,0,1,3-4级,3,4
114,三亚,2015/10/22,31,23,多云,东北风,1,0,0,1,3-4级,3,4
115,三亚,2015/10/23,32,22,多云,东北风,1,0,0,1,3-4级,3,4
116,三亚,2015/10/24,32,23,多云,东北风,1,0,0,1,3-4级,3,4
117,三亚,2015/10/25,32,24,多云,东北风,1,0,0,1,3-4级,3,4
118,三亚,2015/10/26,32,24,多云,东北风,1,0,0,1,3-4级,3,4
119,三亚,2015/10/27,33,23,晴~多云,东北风,1,0,0,1,3-4级,3,4
120,三亚,2015/10/28,32,24,多云,东北风,1,0,0,1,3-4级,3,4
121,三亚,2015/10/29,32,24,多云,东北风,1,0,0,1,3-4级,3,4
122,三亚,2015/10/30,32,24,多云,东北风,1,0,0,1,3-4级,3,4
123,三亚,2015/10/31,32,24,多云,东北风,1,0,0,1,3-4级,3,4
124,三亚,2015/11/1,29,23,多云,东北风,1,0,0,1,3-4级,3,4
125,三亚,2015/11/2,30,23,多云,东北风,1,0,0,1,3-4级,3,4
126,三亚,2015/11/3,31,23,多云,东北风,1,0,0,1,3-4级,3,4
127,三亚,2015/11/4,31,25,多云,东北风,1,0,0,1,3-4级,3,4
128,三亚,2015/11/5,30,25,阵雨,东北风,1,0,0,1,3-4级,3,4
129,三亚,2015/11/6,31,24,多云,东北风,1,0,0,1,3-4级,3,4
130,三亚,2015/11/7,30,25,阵雨~多云,东北风,1,0,0,1,3-4级,3,4
131,三亚,2015/11/8,32,24,多云,东北风,1,0,0,1,3-4级,3,4
132,三亚,2015/11/9,32,25,多云,东北风,1,0,0,1,3-4级,3,4
133,三亚,2015/11/10,31,25,多云,东北风,1,0,0,1,3-4级,3,4
134,三亚,2015/11/11,32,25,多云,东北风,1,0,0,1,3-4级,3,4
135,三亚,2015/11/12,31,26,多云,东北风,1,0,0,1,3-4级,3,4
136,三亚,2015/11/13,32,25,多云,东南风,1,1,0,0,3-4级,3,4
137,三亚,2015/11/14,32,24,多云,东北风,1,0,0,1,3-4级,3,4
138,三亚,2015/11/15,32,24,多云,东北风,1,0,0,1,3-4级,3,4
139,三亚,2015/11/16,32,24,多云,东北风,1,0,0,1,3-4级,3,4
140,三亚,2015/11/17,32,25,多云,东北风,1,0,0,1,3-4级,3,4
141,三亚,2015/11/18,32,25,多云,东北风,1,0,0,1,3-4级,3,4
142,三亚,2015/11/19,32,25,多云,东北风,1,0,0,1,3-4级,3,4
143,三亚,2015/11/20,32,25,多云,东北风,1,0,0,1,3-4级,3,4
144,三亚,2015/11/21,32,25,多云,东北风,1,0,0,1,3-4级,3,4
145,三亚,2015/11/22,30,25,阵雨~多云,东北风,1,0,0,1,3-4级,3,4
146,三亚,2015/11/23,31,24,多云,东北风,1,0,0,1,3-4级,3,4
147,三亚,2015/11/24,30,24,多云,东北风,1,0,0,1,3-4级,3,4
148,三亚,2015/11/25,30,22,多云,东北风,1,0,0,1,3-4级,3,4
149,三亚,2015/11/26,29,22,多云,东北风,1,0,0,1,3-4级,3,4
150,三亚,2015/11/27,29,23,多云,东北风,1,0,0,1,3-4级,3,4
151,三亚,2015/11/28,30,23,多云,东北风,1,0,0,1,3-4级,3,4
152,三亚,2015/11/29,30,24,多云,东北风,1,0,0,1,3-4级,3,4
153,三亚,2015/11/30,30,24,多云,东北风,1,0,0,1,3-4级,3,4
154,三亚,2015/12/1,30,25,多云,东北风,1,0,0,1,3-4级,3,4
155,三亚,2015/12/2,30,24,多云,东北风,1,0,0,1,3-4级,3,4
156,三亚,2015/12/3,29,23,多云,东北风,1,0,0,1,3-4级,3,4
157,三亚,2015/12/4,29,24,多云,东北风,1,0,0,1,3-4级,3,4
158,三亚,2015/12/5,30,22,多云~阴,东北风,1,0,0,1,3-4级,3,4
159,三亚,2015/12/6,26,21,多云,东北风,1,0,0,1,3-4级,3,4
160,三亚,2015/12/7,26,22,阴~多云,东北风,1,0,0,1,3-4级,3,4
161,三亚,2015/12/8,29,23,多云~阵雨,东北风,1,0,0,1,3-4级,3,4
162,三亚,2015/12/9,28,22,阴,东南风,1,1,0,0,3-4级,3,4
163,三亚,2015/12/10,30,22,多云,东北风,1,0,0,1,3-4级,3,4
164,三亚,2015/12/11,31,23,多云,东北风,1,0,0,1,3-4级,3,4
165,三亚,2015/12/12,30,22,多云,东北风,1,0,0,1,3-4级,3,4
166,三亚,2015/12/13,30,23,多云,东北风,1,0,0,1,3-4级,3,4
167,三亚,2015/12/14,30,21,多云,东北风,1,0,0,1,3-4级,3,4
168,三亚,2015/12/15,29,19,阵雨,东北风,1,0,0,1,3-4级,3,4
169,三亚,2015/12/16,23,17,多云,东北风,1,0,0,1,3-4级,3,4
